ID,AVG_ERROR,MAX_ERROR,END_ERROR,E25,E50,E75,E100,NUM_RANK,TERMINATED,,,,,,,,,
0,0,0,0,0,0,0,0,1,2000,,0.012869184,0.038200615,0.01117372,0.020351372,0.011947324,0.011143349,0.01117372,1
1,0.00125,0.01,0,0.01,0,0,0,1,2000,,,,,,,,,
2,0,0,0,0,0,0,0,1,2000,,,,,,,,,
3,0.0125,0.1,0,0,0,0,0,1,2000,,,,,,,,,
4,0,0,0,0,0,0,0,1,2000,,,,,,,,,
5,0.0025,0.02,0,0.02,0,0,0,1,2000,,,,,,,,,
6,0,0,0,0,0,0,0,1,2000,,,,,,,,,
7,0.00375,0.01,0.01,0,0,0.01,0.01,1,2000,,,,,,,,,
8,0.0125,0.1,0,0,0,0,0,1,2000,,,,,,,,,
9,0,0,0,0,0,0,0,1,2000,,,,,,,,,
10,0.00125,0.01,0,0.01,0,0,0,1,2000,,,,,,,,,
11,0.0025,0.01,0,0.01,0,0,0,1,2000,,,,,,,,,
12,0.00125,0.01,0,0,0,0,0,1,2000,,,,,,,,,
13,0,0,0,0,0,0,0,1,2000,,,,,,,,,
14,0.0125623,0.100499,0,0.100499,0,0,0,1,2000,,,,,,,,,
15,0,0,0,0,0,0,0,1,2000,,,,,,,,,
16,0.0025,0.01,0.01,0,0,0,0.01,1,2000,,,,,,,,,
17,0.0025,0.02,0,0.02,0,0,0,1,2000,,,,,,,,,
18,0.005,0.02,0,0.02,0,0,0,1,2000,,,,,,,,,
19,0.00125,0.01,0,0,0,0,0,1,2000,,,,,,,,,
20,0.0150623,0.100499,0,0,0.01,0,0,1,2000,,,,,,,,,
21,0,0,0,0,0,0,0,1,2000,,,,,,,,,
22,0.0263123,0.100499,0,0.1,0.01,0,0,1,2000,,,,,,,,,
23,0,0,0,0,0,0,0,1,2000,,,,,,,,,
24,0,0,0,0,0,0,0,1,2000,,,,,,,,,
25,0.0125,0.1,0,0,0,0,0,1,2000,,,,,,,,,
26,0.0125,0.1,0,0.1,0,0,0,1,2000,,,,,,,,,
27,0,0,0,0,0,0,0,1,2000,,,,,,,,,
28,0,0,0,0,0,0,0,1,2000,,,,,,,,,
29,0,0,0,0,0,0,0,1,2000,,,,,,,,,
30,0.0139975,0.10198,0,0.10198,0,0,0,1,2000,,,,,,,,,
31,0,0,0,0,0,0,0,1,2000,,,,,,,,,
32,0,0,0,0,0,0,0,1,2000,,,,,,,,,
33,0,0,0,0,0,0,0,1,2000,,,,,,,,,
34,0.00125,0.01,0,0.01,0,0,0,1,2000,,,,,,,,,
35,0.00125,0.01,0,0,0,0.01,0,1,2000,,,,,,,,,
36,0,0,0,0,0,0,0,1,2000,,,,,,,,,
37,0,0,0,0,0,0,0,1,2000,,,,,,,,,
38,0.0125,0.1,0,0,0,0,0,1,2000,,,,,,,,,
39,0.015,0.1,0,0.02,0.1,0,0,1,2000,,,,,,,,,
40,0,0,0,0,0,0,0,1,2000,,,,,,,,,
41,0.0025,0.01,0.01,0.01,0,0,0.01,1,2000,,,,,,,,,
42,0,0,0,0,0,0,0,1,2000,,,,,,,,,
43,0,0,0,0,0,0,0,1,2000,,,,,,,,,
44,0,0,0,0,0,0,0,1,2000,,,,,,,,,
45,0.01625,0.1,0,0.01,0,0,0,1,2000,,,,,,,,,
46,0,0,0,0,0,0,0,1,2000,,,,,,,,,
47,0.00375,0.01,0,0.01,0,0,0,1,2000,,,,,,,,,
48,0.015,0.1,0,0.02,0,0,0,1,2000,,,,,,,,,
49,0,0,0,0,0,0,0,1,2000,,,,,,,,,
50,0.00125,0.01,0,0,0,0,0,1,2000,,,,,,,,,
51,0,0,0,0,0,0,0,1,2000,,,,,,,,,
52,0,0,0,0,0,0,0,1,2000,,,,,,,,,
53,0.00125,0.01,0,0.01,0,0,0,1,2000,,,,,,,,,
54,0.0025,0.01,0.01,0.01,0,0,0.01,1,2000,,,,,,,,,
55,0,0,0,0,0,0,0,1,2000,,,,,,,,,
56,0,0,0,0,0,0,0,1,2000,,,,,,,,,
57,0.0125,0.1,0,0.1,0,0,0,1,2000,,,,,,,,,
58,0.0125,0.1,0,0,0.1,0,0,1,2000,,,,,,,,,
59,0.0375,0.1,0.1,0.1,0,0,0.1,1,2000,,,,,,,,,
60,0.00125,0.01,0.01,0,0,0,0.01,1,2000,,,,,,,,,
61,0.00125,0.01,0,0.01,0,0,0,1,2000,,,,,,,,,
